Fmax,MaxTilt_deg,Settling_s,MeanTilt_deg
0.1,15.617963225851147,6.6974036693573,3.638300127793879
0.2,15.672301095311136,5.804769039154049,3.2735033818383936
0.4,13.004087370768753,3.698931694030758,2.4644852517447795
0.6,11.430374955268665,3.498091220855713,2.19674439365185
0.8,10.157365149348031,3.3971376419067383,2.3640967845073892
1.0,9.244894411164822,3.4014887809753453,1.4932134417489877
1.5,6.653599231143049,3.7033026218414307,1.2249447032732275
2.0,5.302374056428818,3.999551773071289,1.3486940968883296
3.0,5.617611411997195,3.9918289184570277,1.221270857715735
5.0,9.197695522243562,3.904023647308346,1.5287898999091594
10.0,14.676178933046454,3.8996949195861816,1.974834824369002
Unlimited,15.636953263086966,3.901871681213379,1.9557272488635966
