Fmax,MaxTilt_deg,Settling_s,MeanTilt_deg,Effort_L1,Effort_L2,Sat_%
0.1,15.617963225851147,6.6974036693573,3.638300127793879,1.2784231529870682,0.17194572355373147,0.0
0.2,15.672301095311136,5.804769039154049,3.2735033818383936,2.0026087437722966,0.5367315244896917,0.0
0.4,13.004087370768753,3.698931694030758,2.4644852517447795,3.1071943663295554,1.5839475966945236,0.0
0.6,11.430374955268665,3.498091220855713,2.19674439365185,3.7963675582153877,2.8452945756114856,0.0
0.8,10.157365149348031,3.3971376419067383,2.3640967845073892,4.5098002363116025,4.054433236917773,36.486486486486484
1.0,9.244894411164822,3.4014887809753453,1.4932134417489877,4.897846110265401,5.710045135267187,26.732673267326735
1.5,6.653599231143049,3.7033026218414307,1.2249447032732275,7.5964806285254625,13.342780270439956,35.64356435643564
2.0,5.302374056428818,3.999551773071289,1.3486940968883296,9.666419027589095,22.077384332780365,36.0
3.0,5.617611411997195,3.9918289184570277,1.221270857715735,10.129332912623079,26.760542589431704,37.62376237623762
5.0,9.197695522243562,3.904023647308346,1.5287898999091594,9.566882958156823,36.27716365731251,28.000000000000004
10.0,14.676178933046454,3.8996949195861816,1.974834824369002,10.459776732276026,57.15647311730294,34.65346534653465
Unlimited,15.636953263086966,3.901871681213379,1.9557272488635966,10.673956695607036,87.81671364463583,34.0
