Mode,PeakTiltDeg,SettlingTime,IAE,ISE,Effort_L1,Effort_L2,SatRatio,SlackRatio
No Control,16.868341223456028,,0.7803117515148971,0.10785155764834334,0.0,0.0,0.0,0.0
PID,12.61794902940096,4.2923197746276855,0.40573181701129535,0.0498864990399199,3.877777026262328,4.167334366389876,0.2,0.0
MPC,9.244894411164822,3.4014887809753453,0.24309201631645858,0.020604390721521423,4.897846110265401,5.710045135267187,0.26732673267326734,0.0
