Mode,RMS_e,IAE_e,ISE_e,Peak_e,Settling_e,RMS_ex,RMS_ey,Saturation_Ratio
NoCtrl,0.10518517042273015,0.7902331023517135,0.11063920076858784,0.27578333396049404,8.120000000000001,0.075512426562887,0.07322426859616546,
PID,0.07035579262225129,0.415024952574396,0.04949937555505231,0.20729840122335325,3.43,0.050147251806596294,0.04934765132963326,
MPC,0.05153665486275495,0.31149012455098374,0.02656026794442724,0.1564700306715925,3.7600000000000002,0.036590660113855596,0.03629256655122397,
